method,agent_group,common_evaluated_count,total_count,pwgs,edge_jnll,edge_jnll_status,ungrounded_edge_candidate_count
GPT-Medium,single,30,34,0.5716691980933395,,not_estimable_no_ungrounded_predictions,0
GPT-Medium,multi,53,66,0.6844654721899587,,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,single,30,34,0.5590831540928314,,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,multi,53,66,0.6310996782889617,,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,single,30,34,0.5403147911872724,,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,multi,53,66,0.6013968321774221,,not_estimable_no_ungrounded_predictions,0
Gemma-Instant,single,30,34,0.5677820923489411,,not_estimable_no_ungrounded_predictions,0
Gemma-Instant,multi,53,66,0.63324547680089,,not_estimable_no_ungrounded_predictions,0
