variant,case_id,agent_number,target_number,status,stop_reason,steps_completed,verified_success,progress,team_ppl_total,team_ppl_makespan,total_distance,maximum_agent_distance,f1,pwgs_pair_count,pwgs,saved_new_edge_count,last_ungrounded_edge_count,edge_jnll,edge_jnll_status
Original Qwen-Thinking,RPmz2sHmrrY_case_0030,3,8,completed,all_targets_found,7,0.0,0.625,0.3642360999300585,0.4812594188948121,20.342604715916025,8.253547584066053,0.6666666666666666,12,0.6263018787897502,0,0,,not_estimable_no_ungrounded_predictions
Relaxed new-edge prompt,RPmz2sHmrrY_case_0030,3,8,completed,all_targets_found,10,0.0,0.5,0.20873264535997021,0.31263678419031665,28.39809169808004,10.16412070490159,0.4,27,0.6521434254322569,0,0,,not_estimable_no_ungrounded_predictions
