method,agent_group,common_evaluated_count,total_count,pwgs,target_balanced_pwgs,edge_jnll,edge_jnll_status,ungrounded_edge_candidate_count
GPT-Medium,single,30,34,0.5716691980933395,0.600512369345943,,not_estimable_no_ungrounded_predictions,0
GPT-Medium,multi,53,66,0.6844654721899587,0.6965670653022051,,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,single,30,34,0.5590831540928314,0.5895173126799587,,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,multi,53,66,0.6310996782889617,0.6288572316814139,,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,single,30,34,0.5403147911872724,0.5680959788275292,,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,multi,53,66,0.6013968321774221,0.5958227854965991,,not_estimable_no_ungrounded_predictions,0
Gemma-Instant,single,30,34,0.5677820923489411,0.5802254187597105,,not_estimable_no_ungrounded_predictions,0
Gemma-Instant,multi,53,66,0.63324547680089,0.6359344353772612,,not_estimable_no_ungrounded_predictions,0
