method,agent_group,common_evaluated_count,total_count,pwgs,geodesic_ndcg_at_5,edge_jnll,edge_jnll_status,ungrounded_edge_candidate_count
GPT-Medium,single,30,34,0.5716691980933395,0.8632143615852197,,not_estimable_no_ungrounded_predictions,0
GPT-Medium,multi,53,66,0.6844654721899587,0.8333689955075213,,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,single,30,34,0.5590831540928314,0.8631227804208528,,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,multi,53,66,0.6310996782889617,0.7902681593848164,,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,single,30,34,0.5403147911872724,0.8532592381176841,,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,multi,53,66,0.6013968321774221,0.7545503680478686,,not_estimable_no_ungrounded_predictions,0
Gemma-Instant,single,30,34,0.5677820923489411,0.8842744553547167,,not_estimable_no_ungrounded_predictions,0
Gemma-Instant,multi,53,66,0.63324547680089,0.7895690845835901,,not_estimable_no_ungrounded_predictions,0
